ColumnName,Tables,DataType,DataLength,Key
2007-05-31 14:17:29#187,dbo.Unclaimed26,nvarchar,255, 
2009-08-26 10:11:56#480,dbo.Unclaimed26,nvarchar,255, 
Aba,"dbo.AgentBankConfigAccount,dbo.ABABlocked",nvarchar,255, 
ABACode,dbo.CheckProcessorBank,varchar,50, 
AC,dbo.ExcelZipCodes,int, , 
AcceptableCharacters,dbo.ClaimCodeProfile,nvarchar,50, 
AccessNumber,"dbo.PureMinutesTransaction,lunex.TransferLN",nvarchar,1000, 
Account,"dbo.AgentBankConfigAccount,dbo.Checks,dbo.CC_AccVerifByAg",nvarchar,255, 
Account,"dbo.AgentBankConfigAccount,dbo.Checks,dbo.CC_AccVerifByAg",varchar,50, 
Account_Number,"BillPayment.TransferR,Regalii.TransferR",nvarchar,3000, 
AccountName,dbo.InvAccount,nvarchar,-1, 
AccountNickname,MoneyGram.Transaction,varchar,40, 
AccountNo,"MoneyOrder.AgentRegistration,dbo.PosTransfer",nvarchar,100, 
AccountNo,"MoneyOrder.AgentRegistration,dbo.PosTransfer",varchar,50, 
AccountNumber,"dbo.IssuerChecks,dbo.AgentBankDeposit,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions,dbo.Agent,dbo.AgentZeusView,dbo.BillAccounts,dbo.AgentAppAchInformation,dbo.AgentPosAccount,dbo.CheckRejectHistory,dbo.AgentMirror",nvarchar,-1, 
AccountNumber,"dbo.IssuerChecks,dbo.AgentBankDeposit,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions,dbo.Agent,dbo.AgentZeusView,dbo.BillAccounts,dbo.AgentAppAchInformation,dbo.AgentPosAccount,dbo.CheckRejectHistory,dbo.AgentMirror",varchar,200, 
AccountNumberCommission,"dbo.AgentApplication,dbo.Agent,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AccountNumberData,"WellsFargo.TransferWFEcheck,WellsFargo.AgentAccount",varbinary,-1, 
AccountNumberDigits,"BillPayment.TransferR,Regalii.Billers,Regalii.TransferR",varchar,500, 
AccountType,"WellsFargo.TransferWFEcheck,WellsFargo.AgentAccount",nvarchar,1, 
